index,customerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly
0,0002-ORFBO,0,Female,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,One_year,1,Mailed_check,65.6
1,0003-MKNFE,0,Male,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed_check,59.9
2,0004-TLHLJ,1,Male,0,0,0,4,1,No,Fiber_optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic_check,73.9
3,0011-IGKFF,1,Male,1,1,0,13,1,No,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic_check,98.0
4,0013-EXCHZ,1,Female,1,1,0,3,1,No,Fiber_optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed_check,83.9
5,0013-MHZWF,0,Female,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit_card_(automatic),69.4
6,0013-SMEOE,0,Female,1,1,0,71,1,No,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,1,Bank_transfer_(automatic),109.7
7,0014-BMAQU,0,Male,0,1,0,63,1,Yes,Fiber_optic,Yes,No,No,Yes,No,No,Two_year,1,Credit_card_(automatic),84.65
8,0015-UOCOJ,0,Female,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic_check,48.2
9,0016-QLJIS,0,Female,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,1,Mailed_check,90.45
10,0017-DINOC,0,Male,0,0,0,54,0,No_phone_service,DSL,Yes,No,No,Yes,Yes,No,Two_year,0,Credit_card_(automatic),45.2
11,0017-IUDMW,0,Female,0,1,1,72,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,1,Credit_card_(automatic),116.8
12,0018-NYROU,0,Female,0,1,0,5,1,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,1,Electronic_check,68.95
13,0019-EFAEP,0,Female,0,0,0,72,1,Yes,Fiber_optic,Yes,Yes,Yes,No,Yes,No,Two_year,1,Bank_transfer_(automatic),101.3
14,0019-GFNTW,0,Female,0,0,0,56,0,No_phone_service,DSL,Yes,Yes,Yes,Yes,No,No,Two_year,0,Bank_transfer_(automatic),45.05
15,0020-INWCK,0,Female,0,1,1,71,1,Yes,Fiber_optic,No,Yes,Yes,No,No,Yes,Two_year,1,Credit_card_(automatic),95.75
16,0020-JDNXP,0,Female,0,1,1,34,0,No_phone_service,DSL,Yes,No,Yes,Yes,Yes,Yes,One_year,0,Mailed_check,61.25
17,0021-IKXGC,0,Female,1,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,1,Electronic_check,72.1
18,0022-TCJCI,1,Male,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,One_year,0,Credit_card_(automatic),62.7
19,0023-HGHWL,1,Male,1,0,0,1,0,No_phone_service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic_check,25.1
20,0023-UYUPN,0,Female,1,1,0,50,1,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,0,Electronic_check,25.2
21,0023-XUOPT,1,Female,0,1,0,13,1,Yes,Fiber_optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic_check,94.1
22,0027-KWYKW,0,Female,0,1,1,23,1,Yes,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic_check,83.75
23,0030-FNXPP,0,Female,0,0,0,3,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Mailed_check,19.85
24,0031-PVLZI,1,Female,0,1,1,4,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Mailed_check,20.35
25,0032-PGELS,1,Female,0,1,1,1,0,No_phone_service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank_transfer_(automatic),30.5
26,0036-IHMOT,0,Female,0,1,1,55,1,No,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,One_year,1,Bank_transfer_(automatic),103.7
27,0040-HALCW,0,Male,0,1,1,54,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,0,Credit_card_(automatic),20.4
28,0042-JVWOJ,0,Male,0,0,0,26,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,1,Bank_transfer_(automatic),19.6
29,0042-RLHYP,0,Female,0,1,1,69,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,0,Bank_transfer_(automatic),19.7
31,0048-LUMLS,0,Male,0,1,1,37,1,No,Fiber_optic,No,No,No,No,Yes,Yes,One_year,0,Credit_card_(automatic),91.2
32,0048-PIHNL,0,Female,0,1,0,49,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,0,Bank_transfer_(automatic),20.45
33,0052-DCKON,0,Male,0,1,0,66,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,One_year,0,Bank_transfer_(automatic),115.8
34,0052-YNYOT,0,Female,0,0,0,67,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,0,Electronic_check,20.55
35,0056-EPFBG,0,Male,0,1,1,20,0,No_phone_service,DSL,Yes,No,Yes,Yes,No,No,Two_year,1,Credit_card_(automatic),39.4
36,0057-QBUQH,0,Female,0,0,1,43,1,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,1,Electronic_check,25.1
37,0058-EVZWM,0,Female,0,1,0,55,1,Yes,Fiber_optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank_transfer_(automatic),89.8
38,0060-FUALY,0,Female,0,1,0,59,1,Yes,Fiber_optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic_check,94.75
39,0064-SUDOG,0,Female,0,1,1,12,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,0,Bank_transfer_(automatic),20.3
40,0064-YIJGF,0,Male,0,1,1,27,1,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,1,Bank_transfer_(automatic),75.75
41,0067-DKWBL,1,Male,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic_check,49.25
42,0068-FIGTF,0,Female,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One_year,0,Mailed_check,78.2
43,0071-NDAFP,0,Male,0,1,1,25,1,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,0,Credit_card_(automatic),25.5
44,0074-HDKDG,0,Male,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,One_year,1,Bank_transfer_(automatic),61.6
45,0076-LVEPS,0,Male,0,0,1,29,0,No_phone_service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed_check,45.0
46,0078-XZMHT,0,Male,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two_year,1,Bank_transfer_(automatic),85.15
47,0080-EMYVY,0,Female,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,One_year,0,Credit_card_(automatic),51.45
48,0080-OROZO,0,Female,0,0,0,35,1,No,Fiber_optic,No,No,Yes,Yes,Yes,Yes,One_year,1,Electronic_check,99.25
49,0082-LDZUE,0,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed_check,44.3
